Event.Date,Location,Country,Airport.Code,Total.Fatal.Injuries
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
10/17/2019,"Unalaska, AK",United States,PADU,1
,,,,
10/17/2019,"Green Bay, WI",United States,WI78,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
10/14/2019,"Cameron, NC",United States,84NC,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
10/9/2019,"Aberdeen, SD",United States,ABR,1
10/8/2019,"Camarillo, CA",United States,CMA,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
10/5/2019,"Kokomo, IN",United States,OKK,1
,,,,
,,,,
,,,,
10/4/2019,"Asheboro, NC",United States,HBI,2
,,,,
,,,,
10/3/2019,"Lansing, MI",United States,LAN,5
,,,,
10/2/2019,"Windsor Locks, CT",United States,BDL,7
,,,,
,,,,
9/29/2019,"Deland, FL",United States,DED,3
,,,,
,,,,
9/28/2019,"Dalton, GA",United States,GA72,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
9/21/2019,"Conroe, TX",United States,CXO,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
9/19/2019,"Torrance, CA",United States,TOA,1
,,,,
,,,,
,,,,
9/18/2019,"London, OH",United States,UYF,1
,,,,
,,,,
,,,,
,,,,
,,,,
9/17/2019,"Stroudsburg, PA",United States,50PA,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
9/11/2019,"Monclova, OH",United States,TOL,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
9/9/2019,"WHITEHALL, MI",United States,KFFX,1
,,,,
,,,,
,,,,
9/8/2019,"Marathon, FL",United States,MTH,2
,,,,
,,,,
9/7/2019,"Las Vegas, NV",United States,HND,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
9/6/2019,"Hood River, OR",United States,4S2,2
,,,,
9/6/2019,"Lady Lake, FL",United States,97FL,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
8/27/2019,"McKenzie Bridge, OR",United States,00S,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
8/25/2019,"Wilkeson, WA",United States,Wn15,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
8/23/2019,"Big Spring, TX",United States,BPG,1
,,,,
,,,,
8/23/2019,"Minneola, FL",United States,3FD4,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
8/22/2019,"Diepholz, Germany",Germany,ENTD,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
8/20/2019,"Howell, MI",United States,KOZW,2
8/20/2019,"Hays, KS",United States,N/A,1
,,,,
,,,,
,,,,
,,,,
8/19/2019,"Viroqa, WI",United States,Y51,1
,,,,
8/18/2019,"New Castle, DE",United States,ILG,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
8/17/2019,"Lagrangeville, NY",United States,44N,2
,,,,
,,,,
,,,,
,,,,
8/16/2019,"New Orleans, LA",United States,NEW,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
8/14/2019,"Marysville, WA",United States,AWO,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
8/11/2019,"Jersey Shore, PA",United States,P96,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
8/9/2019,"Ontario, OR",United States,ONO,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
8/8/2019,"Hatboro, PA",United States,PNE,3
,,,,
,,,,
,,,,
8/7/2019,"Camarillo, CA",United States,CMA,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
8/4/2019,"De Queen, AR",United States,DEQ,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
8/2/2019,"Los Angeles, Chile",Chile,SCGE,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
7/28/2019,"Gainesville, TX",United States,GLE,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
7/24/2019,"Americus, GA",United States,ACJ,2
,,,,
7/24/2019,"Chadron, NE",United States,CDR,3
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
7/15/2019,"Hayward, CA",United States,HWD,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
7/13/2019,"Oliver Springs, TN",United States,TN08,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
7/11/2019,"Hawley, MN",United States,04Y,1
7/11/2019,"Ketchikan, AK",United States,KTN,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
7/9/2019,"MONROE, GA",United States,D73,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
7/6/2019,"Oxford, MS",United States,UOX,1
,,,,
,,,,
,,,,
7/5/2019,"Chebanse, IL",United States,IKK,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
7/1/2019,"Orleans, IN",United States,PVT,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
6/30/2019,"Addison, TX",United States,ADS,10
6/30/2019,"Elyria, OH",United States,1G1,1
6/29/2019,"Moriarty, NM",United States,0.00E+00,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
6/29/2019,"Cabo Rojo, Dominican Republic",Dominican Republic,MDCR,4
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
6/28/2019,"Hiawatha, KS",United States,K87,1
6/28/2019,"Brainerd, MN",United States,BRD,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
6/27/2019,"Hope Mills, NC",United States,FAY,2
,,,,
,,,,
,,,,
,,,,
,,,,
6/26/2019,"Fletcher, NC",United States,NC67,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
6/22/2019,"Sunriver, OR",United States,S21,1
,,,,
,,,,
6/22/2019,"Pont-A-Celles, Belgium",Belgium,EBBZ,2
,,,,
,,,,
,,,,
,,,,
,,,,
6/21/2019,"Mokuleia, HI",United States,HDH,11
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
6/17/2019,"Endicott, NY",United States,CZG,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
6/14/2019,"Huntsville, TX",United States,UTS,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
6/10/2019,"New York, NY",United States,6N5,1
,,,,
6/10/2019,"Butler, MO",United States,BUM,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
6/8/2019,"Hemet, CA",United States,HMT,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
5/30/2019,"Wasilla, AK",United States,IYS,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
5/27/2019,"Whitehorse, Canada",Canada,CYXY,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
5/22/2019,"Greenfield, IN",United States,MQJ,2
,,,,
,,,,
,,,,
5/20/2019,"Metlakatla, AK",United States,MTM,2
,,,,
5/19/2019,"Melba, ID",United States,ID40,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
5/18/2019,"Chillicothe, OH",United States,RZT,1
,,,,
,,,,
,,,,
,,,,
5/16/2019,"Dubai, United Arab Emirates",United Arab Emirates,OMDB,4
,,,,
,,,,
,,,,
5/15/2019,"Pleasant Grove, CA",United States,25CL,2
5/15/2019,"Pleasant Grove, CA",United States,25CL,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
5/15/2019,"Loveland, CO",United States,FNL,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
5/11/2019,"Creswell, OR",United States,77S,1
,,,,
,,,,
,,,,
,,,,
5/11/2019,"Naples, FL",United States,APF,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
5/8/2019,"Moose Lake, MN",United States,KMZH,1
,,,,
5/7/2019,"Schlater, MS",United States,Pvt,1
,,,,
,,,,
,,,,
,,,,
,,,,
5/6/2019,"Foley, AL",United States,5R4,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
5/5/2019,"Santa Rosa, NM",United States,SXU,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
5/3/2019,"Atizap?­n de Zaragoza, Mexico (jjc airport), Mexico",Mexico,jjc,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
4/29/2019,"Ridgefield, WA",United States,W46,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
4/25/2019,"Madera, CA",United States,MAE,2
,,,,
,,,,
,,,,
,,,,
4/23/2019,"Henderson, KY",United States,EHR,2
,,,,
,,,,
,,,,
,,,,
4/22/2019,"Kerrville, TX",United States,ERV,6
,,,,
4/21/2019,"Kingsland, TX",United States,44TE,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
4/18/2019,"Brookings, OR",United States,BOK,2
4/18/2019,"Fullerton, CA",United States,FUL,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
4/8/2019,"Santa Fe, NM",United States,SAF,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
3/23/2019,"Calhoun, GA",United States,CZL,1
,,,,
,,,,
,,,,
3/22/2019,"Bocona, Venezuela",Venezuela,SVCA,1
3/22/2019,"Blazkov village, Czech Republic., Czech Republic",Czech Republic,LKHK,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
3/18/2019,"Yukon, OK",United States,HSD,2
,,,,
,,,,
,,,,
3/16/2019,"Riverside, CA",United States,RAL,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
3/14/2019,"Lakeway, TX",United States,3R9,1
3/13/2019,"Compton, CA",United States,CPM,1
3/13/2019,"Compton, CA",United States,CPM,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
3/11/2019,"Bolivar, Venezuela",Venezuela,SVSC,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
3/4/2019,"Timmins, CYTS, Canada",Canada,CYTS,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
3/1/2019,"Louisburg, NC",United States,LHZ,3
,,,,
,,,,
,,,,
,,,,
2/28/2019,"Shreveport, LA",United States,DTN,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
2/23/2019,"Mansfield, MA",United States,1B9,2
2/23/2019,"Winter Haven, FL",United States,GIF,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
2/21/2019,"Goshen, IN",United States,GSH,1
,,,,
,,,,
,,,,
2/17/2019,"Roeldal, Norway",Norway,ENHD,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
2/15/2019,"Canadian, TX",United States,HHF,2
,,,,
,,,,
,,,,
2/13/2019,"Bel??m City, State of Par?­, Brazil",Brazil,SBBE,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
2/10/2019,"Atizap?­n de Zaragoza, M??xico, M??xico, Mexico",Mexico,JJC,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
2/2/2019,"Ocala, FL",United States,17FL,1
2/1/2019,"Socorro, NM",United States,ONM,1
,,,,
,,,,
,,,,
1/30/2019,"Durango, Mexico, Mexico",Mexico,MMDO,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1/29/2019,"Kake, AK",United States,PAFE,3
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1/25/2019,"Mt Hood, OR",United States,TTD,1
,,,,
,,,,
1/23/2019,"Ashland, OR",United States,OR99,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1/21/2019,"Kidron, OH",United States,OH22,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1/17/2019,"Fredericksburg, TX",United States,T82,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1/12/2019,"Langley, WA",United States,W10,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1/7/2019,"Colusa, CA",United States,O08,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1/1/2019,"Ubatuba, Brazil",Brazil,SDUB,1
,,,,
,,,,
,,,,
,,,,
12/30/2018,"Beaver Island, MI",United States,SJX,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
12/22/2018,"Lakeland, FL",United States,LAL,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
12/20/2018,"Atlanta, GA",United States,FTY,4
,,,,
,,,,
,,,,
,,,,
12/19/2018,"Blairsville, GA",United States,DZJ,3
,,,,
,,,,
,,,,
12/17/2018,"Aberdeen, ID",United States,U36,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
12/14/2018,"Fredericksburg, VA",United States,EZF,1
,,,,
,,,,
12/13/2018,"Valparaiso, IN",United States,VPZ,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
12/7/2018,"Spain, Spain",Spain,LECD,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
12/1/2018,"Fort Lauderdale, FL",United States,FXE,2
,,,,
,,,,
11/30/2018,"S?œo Paulo, Brazil",Brazil,SBMT,2
11/30/2018,"Apalachicola, FL",United States,AAF,1
,,,,
,,,,
,,,,
,,,,
,,,,
11/29/2018,"Marion, IN",United States,MZZ,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
11/26/2018,"Jequita?? County, Brazil",Brazil,SNJI,4
,,,,
11/26/2018,"Santa Fe, NM",United States,SAF,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
11/22/2018,"La Romana, Dominican Republic",Dominican Republic,MDLR,5
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
11/17/2018,"Gainesville, GA",United States,GVL,1
11/17/2018,"Niceville, FL",United States,FL17,1
11/17/2018,"Liberal, KS",United States,LBL,2
,,,,
11/16/2018,"Overgaard, AZ",United States,AZ82,2
,,,,
,,,,
,,,,
11/15/2018,"Redding, CA",United States,RDD,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
11/9/2018,"Guthrie Center, IA",United States,GCT,4
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
11/8/2018,"Nassau, Bahamas",Bahamas,MYNN,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
11/4/2018,"Woodstock, GA",United States,5GA4,1
11/4/2018,"Louisa, VA",United States,LKU,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
11/2/2018,"Broomfield, CO",United States,EIK,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
10/30/2018,"Sebring, FL",United States,SEF,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
10/23/2018,"Woodbine, NJ",United States,OBI,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
10/19/2018,"Milton, FL",United States,FD93,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
10/16/2018,"La Paz, Mexico",Mexico,MMLP,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
10/13/2018,"Payson, AZ",United States,PAN,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
10/12/2018,"Culpeper, VA",United States,CJR,1
,,,,
,,,,
,,,,
,,,,
10/12/2018,"Placedo, TX",United States,PVT,1
,,,,
,,,,
,,,,
,,,,
,,,,
10/9/2018,"Cape Girardeau, MO",United States,CGI,1
,,,,
10/8/2018,"Midrand, South Africa",South Africa,FAGC,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
10/1/2018,"La Verne, CA",United States,POC,1
,,,,
,,,,
,,,,
10/1/2018,"Y??cora, Mexico",Mexico,XYEC,3
,,,,
,,,,
9/30/2018,"La Verne, CA",United States,KPOC,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
9/28/2018,"Chuuk, Federated States Of Micronesia",Federated States Of Micronesia,PTKK,1
,,,,
9/27/2018,"Greenville, SC",United States,GMU,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
9/25/2018,"Oscoda, MI",United States,KOSC,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
9/20/2018,"Festus, MO",United States,FES,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
9/17/2018,"Cottonwood, AZ",United States,P52,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
9/15/2018,"Woburn, MA",United States,BED,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
9/9/2018,"Lake Worth, FL",United States,LNA,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
9/5/2018,"Jean, NV",United States,0L7,1
,,,,
,,,,
,,,,
,,,,
,,,,
9/5/2018,"Port Huron, MI",United States,KPHN,1
,,,,
9/4/2018,"Palo Alto, CA",United States,PAO,1
,,,,
,,,,
,,,,
,,,,
9/3/2018,"Pacoima, CA",United States,WHP,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
